大分類,POIコード,POI,解説,既存コード,既存コード対象,既存コード説明,参照元,日本標準産業分類コード,日本標準産業分類名
地形,,,,0101,山岳,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
地形,0101,山,山、岳、峰、、山脈、山地、高地、高山域・亜高山域　等。,311,山,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,,,,312,山、岳、峰等,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,,,,,山地（非火山性）景観,,国土交通省　国土数値情報　地域資源データ　類型コード,,
地形,,,,115,高山域・亜高山域,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,218,高山域、亜高山域,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,201,山脈、山地、高地,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,205,非火山性弧峰,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,206,U字谷（氷食谷）,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0102,カール,カール、U字谷（氷食谷）　等。,207,カール,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,208,非対称山稜,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,209,山地　特徴的な稜線,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,210,モレーン,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,211,二重山稜（綿状凹地）,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0103,崖,断崖・岩壁、岩海、岩峰・岩柱、崖錐　等,212,山地　断崖・岩壁,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,213,岩塊斜面、岩海,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,214,山地　構造土,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,215,山地　岩峰・岩柱,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,216,崖錐,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,217,山地　天然橋・岩門・石門,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,7211,岩がけ,岩でできた急斜面      ,国土交通省　都市計画GIS　地物一覧,,
地形,,,,204,大断層崖,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,219,山地　万年雪,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,,火山景観,,国土交通省　国土数値情報　地域資源データ　類型コード,,
地形,,,,101,火山群,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0104,火山,火山、地獄、泥火山　等。,102,火山,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,103,火山性高原,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,104,火口・カルデラ,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0105,カルデラ,カルデラ,105,カルデラ壁,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,106,流れ山群,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,107,火山　特徴的な稜線,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,108,溶岩トンネル・風穴,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,109,溶岩流末端崖,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,110,地獄、泥火山,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0106,噴火口・噴気孔,噴火口・噴気孔、火口、噴泉、間歇泉　等。,6332,噴火口・噴気孔,火山活動等によりマグマやガスが噴出している、又は噴出してい た穴。 ,国土地理院　電子国土基本図　地物種別コード,,
地形,,,,6221,噴火口・噴気口,現在、噴火または噴気している噴火口及び噴気口      ,国土交通省　都市計画GIS　地物一覧,,
地形,,,,111,噴泉,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,112,噴気孔,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,113,間歇泉,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,114,火山　構造土,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,116,火山　万年雪,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,203,非火山性高原,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0107,尖峰,尖峰　等。,313,尖峰、丘、塚等,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,0108,高原,高原、原　等。,0102,高原,湿原、原野等も含み、観光の対象となっているもの。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
地形,0109,丘陵,丘陵　等。,202,丘陵,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,0110,湖沼,湖、沼、池、浦　等。人造湖含む。,0103,湖沼,人造湖含む。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
地形,,,,321,湖、沼、池、浦等,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,,,,701,湖沼,,国土交通省　国土数値情報　地域資源データ　自然景観資源分類コード,,
地形,,,,,湖沼景観,,国土交通省　国土数値情報　地域資源データ　類型コード,,
地形,0111,河川,河川、用水、甌穴群　等。かれ川を含む。,0104,河川,峡谷、滝等を含む。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
地形,,,,322,河川、用水等,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
地形,,,,,河川景観,,国土交通省　国土数値情報　地域資源データ　類型コード,,
